lemmatized,Frequency,Collections
microstructure,5,Consolidated
design automation,5,Consolidated
crashworthiness optimization,5,Consolidated
structure,5,Consolidated
principal component analysis (pca),5,Consolidated
numerical analysis,5,Consolidated
pso,5,Consolidated
cfd,5,Consolidated
sustainability,5,Consolidated
optimized design,5,Consolidated
classification,5,Consolidated
ensemble learning,4,Consolidated
modeling,4,Consolidated
high-speed train,4,Consolidated
lightweight structure,4,Consolidated
residual stress,4,Consolidated
evolution strategy,4,Consolidated
topsis,4,Consolidated
laser cladding,4,Consolidated
pca,4,Consolidated
global optimization,4,Consolidated
polymer,4,Consolidated
fea,4,Consolidated
reliability,4,Consolidated
design of experiment,4,Consolidated
computational fluid dynamic,4,Consolidated
hybrid method,4,Consolidated
radial basis function,4,Consolidated
density,4,Consolidated
multi-criteria decision making,4,Consolidated
optimum design,4,Consolidated
design exploration,4,Consolidated
k nearest neighbor,4,Consolidated
design for additive manufacturing,4,Consolidated
conceptual design,4,Consolidated
generative adversarial network,4,Consolidated
phase change material,4,Consolidated
prediction,4,Consolidated
rsm,4,Consolidated
multidisciplinary design optimization,4,Consolidated
reduced order model,4,Consolidated
volume fraction,4,Consolidated
simulation,4,Consolidated
ai,4,Consolidated
structural topology optimization,4,Consolidated
simulated annealing,4,Consolidated
design space exploration,4,Consolidated
metal matrix composite,4,Consolidated
continuum,4,Consolidated
structural analysis,4,Consolidated
cellular structure,3,Consolidated
truss structure,3,Consolidated
elastic deformation,3,Consolidated
battery,3,Consolidated
heat exchanger,3,Consolidated
steel,3,Consolidated
lithium-ion battery,3,Consolidated
dynamic characteristic,3,Consolidated
hierarchical structure,3,Consolidated
compressed air energy storage,3,Consolidated
three-dimensional printing,3,Consolidated
optimal latin hypercube design,3,Consolidated
training function,3,Consolidated
multifunctional composite,3,Consolidated
soft computing,3,Consolidated
buckling analysis,3,Consolidated
multilayer perceptron,3,Consolidated
multidisciplinary design and optimization,3,Consolidated
delamination,3,Consolidated
level set method,3,Consolidated
data-driven design,3,Consolidated
theoretical prediction,3,Consolidated
data-driven,3,Consolidated
design for manufacturing,3,Consolidated
carbon fiber,3,Consolidated
multi-scale,3,Consolidated
carbon fiber reinforced plastic,3,Consolidated
thin-walled part,3,Consolidated
laser powder bed fusion (lpbf),3,Consolidated
simulation-based design,3,Consolidated
laser powder bed fusion,3,Consolidated
lightweight concrete,3,Consolidated
dimension reduction,3,Consolidated
dimensionality reduction,3,Consolidated
shell structure,3,Consolidated
optimisation,3,Consolidated
hardness,3,Consolidated
energy harvesting,3,Consolidated
relative density,3,Consolidated
reinforced composite,3,Consolidated
fused deposition modelling,3,Consolidated
fuzzy clustering,3,Consolidated
aeroelasticity,3,Consolidated
natural frequency,3,Consolidated
constitutive modeling,3,Consolidated
structural design optimization,3,Consolidated
fatigue life,3,Consolidated
reinforced concrete,3,Consolidated
surrogate modelling,3,Consolidated
alloy design,3,Consolidated
surface roughness,3,Consolidated
aluminum,3,Consolidated
manufacturing,3,Consolidated
reliability-based design optimization,3,Consolidated
genetic algorithm optimization,3,Consolidated
experimental verification,3,Consolidated
rbf neural network,3,Consolidated
functionally graded thickness,3,Consolidated
wear behavior,3,Consolidated
functionally graded material,3,Consolidated
form-finding,3,Consolidated
xgboost,3,Consolidated
isogeometric analysis,3,Consolidated
composite structure,3,Consolidated
process optimization,3,Consolidated
inverse problem,3,Consolidated
quality control,3,Consolidated
wind turbine,3,Consolidated
flexible electronics,3,Consolidated
radial basis function neural network,3,Consolidated
finite element modeling,3,Consolidated
finite element model,3,Consolidated
finite element method (fem),3,Consolidated
mechanical design,3,Consolidated
computational modeling,3,Consolidated
anisotropy,3,Consolidated
soft robotics,3,Consolidated
lpdc,3,Consolidated
ensemble machine learning,3,Consolidated
metamaterials,3,Consolidated
laminate,3,Consolidated
sandwich structure,3,Consolidated
artificial neural network (anns),3,Consolidated
machine tool,3,Consolidated
intelligent design,3,Consolidated
machine learning (ml),3,Consolidated
machine learning algorithm,3,Consolidated
crashworthiness design,3,Consolidated
strength,3,Consolidated
svm,3,Consolidated
error analysis,3,Consolidated
moving morphable component,3,Consolidated
numerical modelling,2,Consolidated
integrated optimization,2,Consolidated
impact behavior,2,Consolidated
decision support system,2,Consolidated
computational mechanic,2,Consolidated
strain sensor,2,Consolidated
computational fluid dynamic (cfd),2,Consolidated
structural parameter,2,Consolidated
origami,2,Consolidated
stress constraint,2,Consolidated
computer vision,2,Consolidated
computational efficiency,2,Consolidated
solid isotropic material with penalization,2,Consolidated
stiffness,2,Consolidated
deep deterministic policy gradient,2,Consolidated
structural theory,2,Consolidated
soft sensor,2,Consolidated
deep generative model,2,Consolidated
numerical method,2,Consolidated
integrated learning,2,Consolidated
injection molding,2,Consolidated
structure descriptor,2,Consolidated
crystal structure,2,Consolidated
cuf,2,Consolidated
intelligence artificial,2,Consolidated
intellectualization,2,Consolidated
crash load,2,Consolidated
stress-strain curve,2,Consolidated
optimization technique,2,Consolidated
nonparametric regression,2,Consolidated
convolutional neural network (cnn),2,Consolidated
damage prediction,2,Consolidated
imperfection,2,Consolidated
stress concentration,2,Consolidated
data driven,2,Consolidated
coupled cab,2,Consolidated
creep,2,Consolidated
product design,2,Consolidated
continuum inverse kinematics,2,Consolidated
sparrow search algorithm,2,Consolidated
strength prediction,2,Consolidated
structural deformation,2,Consolidated
stacking-boosting,2,Consolidated
structural dynamic,2,Consolidated
intelligence system,2,Consolidated
cylindrical shell,2,Consolidated
non-dominated sorting genetic algorithm-iii,2,Consolidated
impact loading,2,Consolidated
interpretive machine learning,2,Consolidated
concrete,2,Consolidated
structural optimisation,2,Consolidated
industry 4.0,2,Consolidated
spider web structure,2,Consolidated
information functional material,2,Consolidated
stochastic topology,2,Consolidated
metamaterial,2,Consolidated
soft manipulator,2,Consolidated
polymer composite,2,Consolidated
powder metallurgy,2,Consolidated
regression,2,Consolidated
fatigue analysis,2,Consolidated
fast charging,2,Consolidated
reinforced concrete column,2,Consolidated
porous material,2,Consolidated
gene expression programming,2,Consolidated
polyurethane foam core,2,Consolidated
extreme gradient boosting,2,Consolidated
experimental validation,2,Consolidated
response surface method,2,Consolidated
polymer matrix composite,2,Consolidated
response surface methodology,2,Consolidated
evaluation indicator,2,Consolidated
fatigue performance,2,Consolidated
polymer blend,2,Consolidated
glass fiber-reinforced plastic,2,Consolidated
gmdh,2,Consolidated
ensemble,2,Consolidated
point cloud,2,Consolidated
engineering design,2,Consolidated
robot,2,Consolidated
robust design,2,Consolidated
robust topology optimization,2,Consolidated
plastic injection molding,2,Consolidated
energy dissipation,2,Consolidated
graph convolutional network,2,Consolidated
planning,2,Consolidated
reduced-order model,2,Consolidated
fdm,2,Consolidated
deep neural network (dnn),2,Consolidated
radial inlet chamber,2,Consolidated
product development,2,Consolidated
forming limit curve,2,Consolidated
process–structure–property,2,Consolidated
fly ash,2,Consolidated
flutter,2,Consolidated
fluid structure interaction,2,Consolidated
free material optimization,2,Consolidated
flow production,2,Consolidated
flexural strength,2,Consolidated
quality assurance,2,Consolidated
flexible hydrofoil,2,Consolidated
flatwise compression strength,2,Consolidated
flame forming,2,Consolidated
finite element modelling,2,Consolidated
fe model updating,2,Consolidated
predictive modelling,2,Consolidated
functional principal component analysis,2,Consolidated
random forest regression,2,Consolidated
rational design,2,Consolidated
predictive analysis,2,Consolidated
fiber-reinforced composite,2,Consolidated
fiber reinforced polymer composite,2,Consolidated
fiber orientation,2,Consolidated
real-time optimization,2,Consolidated
fuzzy subtraction clustering sequence sampling,2,Consolidated
feedforward backpropagation,2,Consolidated
ga,2,Consolidated
recycled aggregate,2,Consolidated
graph neural network,2,Consolidated
energy conservation,2,Consolidated
energy absorber,2,Consolidated
design integration,2,Consolidated
discrete level-set,2,Consolidated
pattern recognition,2,Consolidated
direct metal deposition,2,Consolidated
digital manufacturing,2,Consolidated
digital fabrication,2,Consolidated
particle swarm optimization (pso),2,Consolidated
dielectric property,2,Consolidated
dfam,2,Consolidated
signal monitoring,2,Consolidated
homogenization,2,Consolidated
honeycomb structure,2,Consolidated
design of multiscale system,2,Consolidated
singular value decomposition,2,Consolidated
hot stamping,2,Consolidated
rubberized concrete,2,Consolidated
deposited bead morphology,2,Consolidated
parameterized function,2,Consolidated
parameter optimization,2,Consolidated
size optimization,2,Consolidated
hybrid manufacturing,2,Consolidated
density-related topology optimization,2,Consolidated
parameter identification,2,Consolidated
hybrid nanocomposites,2,Consolidated
deformation prediction,2,Consolidated
hybrid neural network,2,Consolidated
deformation behavior,2,Consolidated
deformation,2,Consolidated
hybrid-driven mechanism design,2,Consolidated
shear wall,2,Consolidated
isogeometric boundary element method,2,Consolidated
doe,2,Consolidated
shape memory polymer,2,Consolidated
elongation,2,Consolidated
graphene nanoplatelets,2,Consolidated
graphical user interface,2,Consolidated
pillar,2,Consolidated
piezoelectric sensor,2,Consolidated
piezoelectric,2,Consolidated
gridshell structure,2,Consolidated
selective laser melting,2,Consolidated
harmony search,2,Consolidated
head impact criterion (hic),2,Consolidated
elastic recovery,2,Consolidated
ego,2,Consolidated
self-organized structure,2,Consolidated
effective thermal conductivity,2,Consolidated
heat line forming,2,Consolidated
effective electrical conductivity,2,Consolidated
heat transfer enhancement,2,Consolidated
dynamic time warping,2,Consolidated
performance optimization,2,Consolidated
dynamic,2,Consolidated
sequential monte carlo method,2,Consolidated
dry-sliding friction,2,Consolidated
high strength steel,2,Consolidated
drilling,2,Consolidated
shap value,2,Consolidated
double-double laminate,2,Consolidated
pearson correlation coefficient,2,Consolidated
high-contrast composite,2,Consolidated
structural boundary extraction,2,Consolidated
isogrid structure,2,Consolidated
automatic forming,2,Consolidated
multi-objective optimization (moo),2,Consolidated
time series data,2,Consolidated
multi-objective optimisation,2,Consolidated
big data,2,Consolidated
lightweight structure design,2,Consolidated
topology,2,Consolidated
topology design,2,Consolidated
multi-objective genetic algorithm,2,Consolidated
topology optimisation,2,Consolidated
bead geometry,2,Consolidated
toughness,2,Consolidated
trailing edge,2,Consolidated
bayesian calibration,2,Consolidated
multi-fidelity surrogate,2,Consolidated
multi-fidelity,2,Consolidated
backpropagation neural network,2,Consolidated
multi-failure mode,2,Consolidated
transverse shear modulus,2,Consolidated
local approximate gaussian process,2,Consolidated
long short-term memory model,2,Consolidated
truss,2,Consolidated
turbine blade,2,Consolidated
moving morphable component (mmc),2,Consolidated
bio-inspired structure,2,Consolidated
thin-walled tube,2,Consolidated
lightweight and crashworthiness design,2,Consolidated
layer laminated manufacturing,2,Consolidated
temperature,2,Consolidated
tensile membrane structure,2,Consolidated
carrera unified formulation,2,Consolidated
carbon nanotube,2,Consolidated
laser-induced graphene,2,Consolidated
theoretical optimization,2,Consolidated
thermal buckling,2,Consolidated
thermal conductivity,2,Consolidated
thermal decomposition,2,Consolidated
thermal energy storage,2,Consolidated
thermal performance,2,Consolidated
thin-walled element,2,Consolidated
thermal property,2,Consolidated
buckling behavior,2,Consolidated
multidisciplinary design optimization (mdo),2,Consolidated
thermodynamics,2,Consolidated
bp-nn,2,Consolidated
life prediction,2,Consolidated
thin -walled part,2,Consolidated
thin cylindrical shell,2,Consolidated
thin-wall component,2,Consolidated
bionic,2,Consolidated
turbomachinery,2,Consolidated
low-carbon industrial,2,Consolidated
central composite design,2,Consolidated
motion control,2,Consolidated
material property,2,Consolidated
aerospace,2,Consolidated
warpage,2,Consolidated
mathematical modeling,2,Consolidated
additive manufacturing (am),2,Consolidated
wear,2,Consolidated
adaptive sampling,2,Consolidated
adaptive rbf neural network,2,Consolidated
adaptive prediction,2,Consolidated
adaptive neuro-fuzzy inference system,2,Consolidated
mechanic,2,Consolidated
adaptive model reduction,2,Consolidated
mechanical behavior,2,Consolidated
mechanical engineering,2,Consolidated
microstructure design,2,Consolidated
adaboost,2,Consolidated
welding sequence optimization,2,Consolidated
acquisition function,2,Consolidated
mechanical testing,2,Consolidated
acoustic emission analysis,2,Consolidated
whale optimization algorithm,2,Consolidated
3d simulation,2,Consolidated
yield stress prediction,2,Consolidated
material modelling,2,Consolidated
mixed variable,2,Consolidated
material informatics,2,Consolidated
model-predictive control,2,Consolidated
mopsoa,2,Consolidated
mopso,2,Consolidated
monte carlo tree search,2,Consolidated
monte carlo simulation,2,Consolidated
artificial neuronal network,2,Consolidated
ultra high performance concrete,2,Consolidated
uncertainty,2,Consolidated
uncertainty aggregation,2,Consolidated
uncertainty reduction,2,Consolidated
anfis,2,Consolidated
analytical model,2,Consolidated
al-based metal matrix composite,2,Consolidated
analytic hierarchy process (ahp),2,Consolidated
model-based system engineering,2,Consolidated
urfcs,2,Consolidated
model validation,2,Consolidated
model updating,2,Consolidated
model reduction,2,Consolidated
modal analysis,2,Consolidated
material design,2,Consolidated
vibration,2,Consolidated
al-li alloy 2060,2,Consolidated
task analysis,2,Consolidated
force -induced deformation,2,Consolidated
comfort-stretch,2,Consolidated
symbolic regression,2,Consolidated
knit fabric,2,Consolidated
complex structure,2,Consolidated
surrogate-based optimization,2,Consolidated
cluster analysis,2,Consolidated
co-design,2,Consolidated
krylov subspace,2,Consolidated
iterative feedback controller (ifc),2,Consolidated
classical buckling theory,2,Consolidated
co-pyrolysis,2,Consolidated
multiscale,2,Consolidated
svr,2,Consolidated
laminated composite,2,Consolidated
system identification,2,Consolidated
kriging model,2,Consolidated
laminate composite,2,Consolidated
composite tendon,2,Consolidated
neural network model,2,Consolidated
structure-property relation,2,Consolidated
cnn,2,Consolidated
composite laminate,2,Consolidated
substructure,2,Consolidated
chatter stability prediction,2,Consolidated
system design,2,Consolidated
non-intrusive shape-topology optimization,1,Consolidated
narrow artificial intelligence,1,Consolidated
model-based system engineering (mbse),1,Consolidated
polymetallic nodule miner,1,Consolidated
polymerizer,1,Consolidated
non-gradient optimization,1,Consolidated
polymer-modified mortar,1,Consolidated
polymer-matrix composite,1,Consolidated
polymorphic uncertainty,1,Consolidated
polymer nanocomposite dielectric,1,Consolidated
polymer nanocomposites,1,Consolidated
on-resistance,1,Consolidated
polynomial regression,1,Consolidated
modal test,1,Consolidated
mixture of gaussian process,1,Consolidated
modal,1,Consolidated
porous matrix,1,Consolidated
non-dominated sorted genetic algorithm,1,Consolidated
porous electrode,1,Consolidated
near-spherical shell,1,Consolidated
modal approach,1,Consolidated
porosity-dependent structure,1,Consolidated
modal loss factor,1,Consolidated
porosity prediction,1,Consolidated
natural fiber,1,Consolidated
mode shape expansion,1,Consolidated
model decomposition,1,Consolidated
polyolefin elastomer,1,Consolidated
model design,1,Consolidated
model identification,1,Consolidated
model order reduction,1,Consolidated
natural inspiration,1,Consolidated
modeling manufacturing restriction,1,Consolidated
polynomial regression analysis,1,Consolidated
non-dominated sorting genetic algorithm-ii,1,Consolidated
modular architectured material,1,Consolidated
modified couple stress parameter,1,Consolidated
plastic waste,1,Consolidated
monitoring,1,Consolidated
plastic mixture,1,Consolidated
nanoindentation,1,Consolidated
nanofillers,1,Consolidated
nonlinear buckling analysis,1,Consolidated
plastic extrusion,1,Consolidated
nonlinear finite element method,1,Consolidated
nonlinear structure,1,Consolidated
nonlocal strain gradient theory,1,Consolidated
morphological matrix,1,Consolidated
morphological operation,1,Consolidated
morphological optimization,1,Consolidated
pla plus,1,Consolidated
morphology,1,Consolidated
most probable point,1,Consolidated
pla,1,Consolidated
pitch control,1,Consolidated
moth flame optimization algorithm,1,Consolidated
pin–fin,1,Consolidated
nanofabrication,1,Consolidated
nanocomposites,1,Consolidated
molten pool width,1,Consolidated
ply drop-off,1,Consolidated
modified palm oil,1,Consolidated
molecular weight prediction,1,Consolidated
mixture design,1,Consolidated
polymer alloy,1,Consolidated
modular neural network,1,Consolidated
non-minimal shape,1,Consolidated
modular-topology optimization,1,Consolidated
polylactic acid,1,Consolidated
polyethylene terephthalate,1,Consolidated
point cloud processing,1,Consolidated
modularisation,1,Consolidated
modularization,1,Consolidated
nanoscale,1,Consolidated
nonlinear,1,Consolidated
modularized weight matrix,1,Consolidated
point cloud neural network,1,Consolidated
mogwo,1,Consolidated
point angle,1,Consolidated
poe,1,Consolidated
pod,1,Consolidated
molecular dynamic,1,Consolidated
pmm (progressive meta-model),1,Consolidated
plywood composite,1,Consolidated
non-dominated genetic algorithm,1,Consolidated
post-buckling,1,Consolidated
non-destructive testing,1,Consolidated
nearly orthogonal latin hypercube sampling,1,Consolidated
micro-tomography,1,Consolidated
printed circuit board (pcb),1,Consolidated
micro-turbomachinery,1,Consolidated
microchannel,1,Consolidated
principal stress line,1,Consolidated
microchannel heatsink,1,Consolidated
micromechanical modeling,1,Consolidated
micromechanics,1,Consolidated
microplastics,1,Consolidated
microstructural analysis,1,Consolidated
price optimization,1,Consolidated
prestressed steel structure,1,Consolidated
pressure-less sintering,1,Consolidated
microstructural evolution,1,Consolidated
pressure loss,1,Consolidated
neural network surrogate,1,Consolidated
preliminary structural design,1,Consolidated
preform optimization,1,Consolidated
neural network reparameterization,1,Consolidated
neural network regression,1,Consolidated
neural style transfer,1,Consolidated
printing,1,Consolidated
probabilistic design,1,Consolidated
probabilistic generation,1,Consolidated
mg-mn-based alloy,1,Consolidated
metamodel-based design,1,Consolidated
metamodels,1,Consolidated
metastructure,1,Consolidated
processing variable,1,Consolidated
processing modeling,1,Consolidated
processing map,1,Consolidated
metastructures optimization,1,Consolidated
process window,1,Consolidated
process planning,1,Consolidated
mg-zx30 alloy,1,Consolidated
micro-structural,1,Consolidated
mged,1,Consolidated
micro beam,1,Consolidated
micro heat pipe array,1,Consolidated
process monitoring,1,Consolidated
neural network-based surrogate,1,Consolidated
micro-curved shell lattice fcc lattice covering layer structure,1,Consolidated
process design,1,Consolidated
probability density function,1,Consolidated
probability box,1,Consolidated
microstructure analysis,1,Consolidated
neuro-mechanical network,1,Consolidated
microstructure evaluation,1,Consolidated
powder-scale modeling,1,Consolidated
predicted structural parameter,1,Consolidated
precision casting,1,Consolidated
negative poisson’s ratio,1,Consolidated
milling force,1,Consolidated
power prediction,1,Consolidated
milling simulation,1,Consolidated
negative poisson's ratio,1,Consolidated
power electronics,1,Consolidated
minimum oil film thickness,1,Consolidated
mirror,1,Consolidated
nems/mems,1,Consolidated
nodal based shape optimisation,1,Consolidated
mist cooling,1,Consolidated
negative curvature hollow core fiber,1,Consolidated
postbuckling,1,Consolidated
mixed mode bending,1,Consolidated
mixed spring beam element,1,Consolidated
nanocomposite,1,Consolidated
ported shroud,1,Consolidated
node design,1,Consolidated
military specification,1,Consolidated
mil-std-810,1,Consolidated
microstructure evolution,1,Consolidated
prediction of impact deformation,1,Consolidated
microstructure modelling,1,Consolidated
microstructure quantification,1,Consolidated
neural network method,1,Consolidated
neural network (nn)-based surrogate model,1,Consolidated
predictive modeling,1,Consolidated
neuronal network,1,Consolidated
neural field,1,Consolidated
new research paradigm,1,Consolidated
nickel rich cathode material,1,Consolidated
nickel-based superalloy,1,Consolidated
miga-mmfd,1,Consolidated
neo-hookean material,1,Consolidated
prediction of deformation,1,Consolidated
microstructures,1,Consolidated
microwave design,1,Consolidated
mid process,1,Consolidated
prediction model,1,Consolidated
mid-surface,1,Consolidated
miga,1,Consolidated
prediction accuracy,1,Consolidated
pineapple rind,1,Consolidated
nonproportional loading,1,Consolidated
pin-fin,1,Consolidated
numerical heat transfer,1,Consolidated
multidisciplinary design optimal,1,Consolidated
numerical calulation,1,Consolidated
multidisciplinary design optimization director (mdod),1,Consolidated
multidisciplinary optimization design,1,Consolidated
pallet rack,1,Consolidated
packaging,1,Consolidated
pack carburizing,1,Consolidated
oxygen-free copper strip,1,Consolidated
multifidelity,1,Consolidated
multiscale topology optimization,1,Consolidated
parallel t-shaped thin-walled part,1,Consolidated
multiscale finite element analysis,1,Consolidated
overlay sampling uniform design,1,Consolidated
multifunctional,1,Consolidated
overall heat transfer coefficient,1,Consolidated
ovality,1,Consolidated
multifunctional metamaterials,1,Consolidated
multiscale design,1,Consolidated
multifunctional property,1,Consolidated
osfd,1,Consolidated
numerical approach,1,Consolidated
multidisciplinary design and analysis,1,Consolidated
multiscale analysis,1,Consolidated
parametric design,1,Consolidated
parametric design optimization,1,Consolidated
multi-principal-element alloy system,1,Consolidated
multi‐criteria decision analysis,1,Consolidated
parametric design model,1,Consolidated
nsga-iii algorithm,1,Consolidated
multi-scale modeling,1,Consolidated
nuclear system design,1,Consolidated
multi-scale modelling,1,Consolidated
multi-scale optimization,1,Consolidated
multi-scale simulation,1,Consolidated
parameter correlation,1,Consolidated
parameterized microstructures,1,Consolidated
multi-scale structural optimization,1,Consolidated
multistage machining process,1,Consolidated
multi-source heterogeneous data,1,Consolidated
multi-strand helical structure,1,Consolidated
multi-task machine learning,1,Consolidated
multi-working condition,1,Consolidated
multiaxial fatigue life estimation,1,Consolidated
multicriteria optimization,1,Consolidated
orthotropy,1,Consolidated
orthotropic steel deck,1,Consolidated
parametric modeling,1,Consolidated
optimal transport,1,Consolidated
multiobjective particle swarm optimization,1,Consolidated
optimization of cutting parameter,1,Consolidated
optimization method,1,Consolidated
multiphase material topology optimization,1,Consolidated
optimization inverse problem,1,Consolidated
multiphysics,1,Consolidated
multiple surrogate model,1,Consolidated
multiple load combination,1,Consolidated
olefin polymerization,1,Consolidated
multiple performance characteristic index (mpci),1,Consolidated
optimization problem,1,Consolidated
optimal process parameter,1,Consolidated
multiple population,1,Consolidated
optimal design of structural compliance,1,Consolidated
multiple resonant frequency,1,Consolidated
on-line monitoring,1,Consolidated
optimal,1,Consolidated
optical monitoring,1,Consolidated
optical fiber design,1,Consolidated
multiple response surface method,1,Consolidated
optimization of technological factor,1,Consolidated
multiobjective optimization (moo),1,Consolidated
multilayered laminate,1,Consolidated
optimized weight factor,1,Consolidated
orthogonal array,1,Consolidated
origami tube,1,Consolidated
origami structure,1,Consolidated
multimaterial structure,1,Consolidated
organic solar cell,1,Consolidated
organic photovoltaics,1,Consolidated
optimum selection,1,Consolidated
multimedia visual analysis,1,Consolidated
numerical substructure,1,Consolidated
multimodal data,1,Consolidated
optimization under uncertainty,1,Consolidated
multimodal fusion,1,Consolidated
oblique impacting,1,Consolidated
multimodal prediction method,1,Consolidated
multiobjective bayesian optimization,1,Consolidated
optimize design,1,Consolidated
off-chip interconnect,1,Consolidated
oil palm shell,1,Consolidated
optimize,1,Consolidated
multiresolution finite element analysis,1,Consolidated
multi-point multi-objective design optimization,1,Consolidated
multi-phase composite,1,Consolidated
nano composite (a),1,Consolidated
multi-failure probabilistic analysis,1,Consolidated
multi-component design,1,Consolidated
photovoltaics,1,Consolidated
multi-criteria optimization,1,Consolidated
phase-field modeling,1,Consolidated
phase-change thermal storage,1,Consolidated
nonuniform rational b-splines,1,Consolidated
nonuniform structure,1,Consolidated
normal function transformation,1,Consolidated
phase separation structure,1,Consolidated
pgd,1,Consolidated
physical computing,1,Consolidated
performance validation,1,Consolidated
performance prediction,1,Consolidated
northeast china,1,Consolidated
multi-fidelity gaussian process regression,1,Consolidated
multi-fidelity kriging,1,Consolidated
multi-fidelity model,1,Consolidated
performance evaluation,1,Consolidated
performance cost ratio,1,Consolidated
performance analysis,1,Consolidated
multi-cell thin-walled tube,1,Consolidated
multi-cell structure,1,Consolidated
multi-lattice structure,1,Consolidated
physics-constrained,1,Consolidated
moving least square,1,Consolidated
moving morphable bar,1,Consolidated
piezoelectric material,1,Consolidated
nano composite,1,Consolidated
mr damper,1,Consolidated
piecewise-integrated composite,1,Consolidated
one-way slab,1,Consolidated
physics-informed model,1,Consolidated
physics-enhanced gaussian process,1,Consolidated
physics-based surrogate model,1,Consolidated
nonstationary process,1,Consolidated
mre,1,Consolidated
physics-assisted machine learning,1,Consolidated
multi -objective optimization,1,Consolidated
multi objective optimization,1,Consolidated
multi t-s fuzzy neural network,1,Consolidated
physical constraint,1,Consolidated
multi-agent reinforcement learning,1,Consolidated
multi-axis milling,1,Consolidated
multi-cell,1,Consolidated
perforated,1,Consolidated
multi-machine coordination,1,Consolidated
pareto front,1,Consolidated
particle damage,1,Consolidated
particle swarm optimization algorithm,1,Consolidated
multi-objective gray relational analysis (mogra),1,Consolidated
mwcnts,1,Consolidated
nsga- ii,1,Consolidated
mwcnt,1,Consolidated
particle swarm optimisation,1,Consolidated
multi-objective optimization design,1,Consolidated
multi-objective particle swarm optimization,1,Consolidated
particle reinforced composite,1,Consolidated
part feature clustering,1,Consolidated
particle-reinforced composite,1,Consolidated
part distortion,1,Consolidated
pareto-optimal front,1,Consolidated
pareto optimality,1,Consolidated
pareto optimal front,1,Consolidated
multi-objective reliability-based design optimization,1,Consolidated
pareto frontier,1,Consolidated
multi-output machine learning,1,Consolidated
muqhs-dmfse composite model,1,Consolidated
multi-parameter similarity prediction model,1,Consolidated
m–k theory,1,Consolidated
n,1,Consolidated
perception technology,1,Consolidated
novel,1,Consolidated
multi-material lightweight structure,1,Consolidated
pemfc,1,Consolidated
multi-material optimization,1,Consolidated
nacre,1,Consolidated
multi-material structure,1,Consolidated
multi-material topology optimization,1,Consolidated
pearson correlation analysis,1,Consolidated
neural networking,1,Consolidated
multi-morphology origami,1,Consolidated
pcld,1,Consolidated
particulate composite,1,Consolidated
novel steel structure,1,Consolidated
multi-objective bayesian optimization,1,Consolidated
pc-kriging,1,Consolidated
pbxs design,1,Consolidated
multi-objective collaborative optimization,1,Consolidated
pattern search technique,1,Consolidated
multi-objective evolutionary algorithm,1,Consolidated
path planning,1,Consolidated
partitioned homogeneous property,1,Consolidated
peak temperature,1,Consolidated
(artificial neural network),1,Consolidated
production capacity prediction,1,Consolidated
thermal modelling,1,Consolidated
thermal distortion prediction,1,Consolidated
thermal elastic metamaterials,1,Consolidated
thermal expansion,1,Consolidated
