keyword,Frequency,Cluster
volume fraction,4,1187
training function,4,262
heat transfer enhancement,4,20
stiffness,4,730
stress concentration,4,418
heat exchanger,4,890
impact testing,3,113
stochastic variance reduced gradient,3,224
data driven,3,436
selective laser melting,3,864
safety,3,643
gene expression programming,3,265
electromagnetic force,3,87
doe,3,433
hydrodynamic characteristic,3,470
semantic segmentation,3,61
extreme gradient boosting,3,332
saddlepoint approximation,3,122
dimensionality reduction,3,882
shear wall,3,263
friction lap welding,3,232
fused deposition modelling,3,1059
friction,3,484
stress constraint,3,257
fly ash,3,278
space frame structure,3,147
energy dissipation,3,534
energy absorber,3,454
strength prediction,3,223
factor,3,181
flutter,3,70
sorting genetic,3,188
structural parameter,3,545
strength failure analysis,3,162
hardness,3,827
discrete,3,305
solid oxide fuel cell,3,195
solid isotropic material with penalization,3,797
strain sensor,3,932
steel tube,3,134
krylov subspace,3,322
industry,3,379
process planning,3,152
biomass activator,3,44
plastic extrusion,3,41
milling simulation,3,178
bionic,3,704
microstructures,3,209
triply periodic minimal surface,3,184
mechanical behaviour,3,468
mechanic,3,133
transverse shear modulus,3,137
porous electrode,3,148
transmission tower,3,217
porous material,3,225
cellular structure,3,343
trailing edge,3,236
prediction accuracy,3,164
printed biomimetic material,3,38
long memory model,3,443
mixture design,3,71
mode,3,190
axial and lateral impact,3,233
nonlinear structure,3,313
acoustic emission analysis,3,155
adaptive inference system,3,857
adaptive infilling,3,29
adaptive prediction,3,132
optimization problem,3,143
optimization of technological factor,3,35
optimal transport,3,14
wideband antenna,3,104
morphological matrix,3,92
nickel rich cathode material,3,153
welding positional parameter,3,60
negative ratio,3,110
natural frequency,3,963
part,3,1024
performance validation,3,63
morphology,3,107
thin part,3,400
point cloud,3,327
quality control,3,1145
reinforced cement concrete beam,3,295
composite plate,3,49
thermodynamics,3,714
quality assurance,3,558
curvature,3,444
progressive damage,3,24
composite tendon,3,540
thermal actuator,3,172
swarm intelligence algorithm,3,292
relation,3,307
reduced design space,3,77
substructure,3,219
knit fabric,3,326
thermal buckling,3,34
part distortion,2,116
intelligence system,2,766
nanocomposite,2,239
free material optimization,2,1077
shell construction,2,145
multiple resonant frequency,2,282
multiple population,2,465
fluid structure interaction,2,1037
particulate composite,2,512
multimodal data,2,481
path planning,2,159
multilayer perceptron,2,1195
perforated,2,124
motion control,2,928
performance,2,126
recycled aggregate,2,828
hydrogen storage,2,157
heat line forming,2,996
network,2,483
pareto front,2,635
fiber orientation,2,1137
optimize,2,438
optimization under uncertainty,2,216
related failure mode,2,838
innovation,2,544
flame forming,2,676
instability,2,556
impact loading,2,1133
organic photovoltaics,2,210
orthogonal array,2,117
flexible hydrofoil,2,717
integrally stiffened shell,2,222
flexural,2,204
integrated learning,2,924
sillover effect,2,290
interval,2,118
parameterized function,2,915
intellectualization,2,903
flow production,2,789
shape,2,39
phase separation structure,2,1
shap value,2,843
manifold heat sink,2,356
microchannel,2,461
melting mode,2,255
mechanical behavior,2,1185
laser forming,2,119
polyolefin elastomer,2,253
hollow glass microspheres,2,638
powder metallurgy,2,743
material fatigue damage,2,201
property prediction,2,407
magnesium,2,414
monte carlo tree search,2,636
lightweight ceramsite aggregate,2,167
probabilistic design,2,175
probability density function,2,256
product development,2,973
harmony search,2,1155
processing variable,2,179
liquid cooled heat dissipation structure,2,254
head impact criterion,2,858
linkage,2,516
information functional material,2,1040
point angle,2,177
microstructural evolution,2,26
sintering,2,411
isogeometric boundary element method,2,1032
monte carlo simulation,2,733
processing map,2,17
physical constraint,2,526
fusion,2,543
pillar,2,631
modified palm oil,2,165
modeling manufacturing restriction,2,189
model validation,2,1193
ga,2,656
iterative feedback controller,2,980
pla plus,2,815
iterative machine learning,2,269
mixed variable,2,795
hot stamping,2,621
planning,2,921
kernel,2,969
sequential monte carlo method,2,877
radial inlet chamber,2,856
soft manipulator,2,785
optimized weight factor,2,230
size reduction,2,213
deep deterministic policy gradient,2,934
commercial aircraft engine,2,413
vehicle component,2,500
structural performance,2,268
structural strength,2,293
deep residual network,2,30
deep generative model,2,1094
decision support,2,513
surface treatment,2,218
structure descriptor,2,868
data statistic,2,428
uncertainty calibration and quantification,2,431
data framework,2,58
uncertainty aggregation,2,1105
damage detection,2,296
deposited bead morphology,2,960
big data,2,784
structural damage identification,2,406
design representation,2,93
structural boundary extraction,2,794
bayesian estimation,2,83
bayesian calibration,2,889
bandgap,2,425
ball transfer insulation system,2,151
bagging regressor,2,96
desirability function,2,85
dielectric property,2,1062
volume shrinkage,2,182
automotive,2,423
automobile,2,186
drilling,2,668
automatic forming,2,1097
turbomachinery,2,823
crystal structure,2,1189
dynamic bending,2,72
classical buckling theory,2,821
top kerf width,2,311
condition,2,342
time series data,2,1022
computer vision,2,745
computational mechanic,2,1163
compressor,2,249
thrust force,2,258
sustainable concrete,2,27
composite tank,2,66
cnn,2,655
component mode synthesis,2,115
thickness reduction,2,46
thick cylinder,2,266
thermoplastic automated fiber placement,2,874
topological data analysis,2,288
chatter stability prediction,2,750
feedforward backpropagation,2,765
characteristic analysis,2,202
cooling technology,2,69
task analysis,2,929
central composite design,2,1161
cellular automaton,2,349
coupled cab,2,783
coupler structure optimization,2,287
carrera unified formulation,2,729
synergistic,2,589
transpiration cooling,2,105
crash load,2,962
creep,2,975
buckling behavior,2,1192
symbolic regression,2,1021
wave propagation,2,273
thermomechanical load,2,100
stability loss,2,214
wireless sensor network,2,688
web opening,2,298
approach,2,166
electromechanical impedance,2,211
fast charging,2,1167
elongation,2,979
stacking sequence,2,492
analytic hierarchy process,2,831
applied voltage,2,199
soft sensor,2,1048
energy selective surface,2,234
spider web structure,2,659
speed,2,226
sound insulation prediction,2,314
spectral element method,2,168
sparrow search algorithm,2,881
evaluation indicator,2,1049
welding sequence optimization,2,1122
arc welding,2,206
analytical model,2,1080
ego,2,807
acquisition function,2,911
statistical index,2,52
elastic recovery,2,683
statistical approach,2,163
dynamic time warping,2,801
aerodynamic optimization,2,341
sketch aided design,2,700
artificial design intuition,2,194
artificial,2,170
stiffened panel,2,242
ported shroud,1,711
transformer bushing,1,844
parallel part,1,706
wood frame,1,1009
transfer learning based surrogate model,1,1039
pallet rack,1,749
process window,1,891
power electronics,1,849
wind design,1,680
wild terrain,1,1162
thickness index,1,564
transition,1,286
x ray diffraction,1,1115
porosity prediction,1,847
transmitter,1,900
wide bandwidth,1,841
tree structure,1,1041
whole engine model,1,950
trellis frame,1,870
triboelectric nanogenerator,1,1180
tsai,1,909
trace theory,1,939
package,1,334
precision casting,1,1002
overlay sampling uniform design,1,708
tiltrotor,1,982
printed wick,1,738
organic solar cell,1,1159
printed circuit board,1,1151
wing design,1,333
probability box,1,617
workability,1,679
principal stress line,1,837
wind tunnel,1,1086
tire building machine,1,965
wind load,1,1015
packaging,1,1146
workflow,1,692
woven composite,1,1188
torque,1,1181
torsional fatigue,1,946
oxyacetylene,1,684
pressure loss,1,1143
thread,1,876
pack carburizing,1,1017
total mass constraint,1,502
tower family,1,645
wavelet transform,1,1156
polylactic acid,1,1117
tube array configuration,1,632
variable blank holder force trajectory,1,610
variable gradient tube,1,1148
variational autoencoders,1,392
part feature clustering,1,1004
vehicle modeling function,1,905
particle damage,1,933
pitch control,1,944
very large crude carrier,1,989
virtual leave one out,1,813
web buckling resistance,1,811
virtual proving ground,1,736
pineapple rind,1,985
virtual sample,1,1164
wearable device,1,1191
partitioned homogeneous property,1,953
parzen estimator,1,660
viscous oil transportation,1,1051
wear resistance,1,1153
voxel modeling,1,1154
weakly coupled resonator,1,987
performance cost ratio,1,1130
wall assembly,1,1066
water absorption rate,1,1140
perception technology,1,1095
water cycle algorithm,1,1076
weak formulation,1,1045
planetary rolling,1,737
uv radiation,1,689
wet packing density,1,778
plastic waste,1,1138
turbocharger,1,495
polymorphic uncertainty,1,702
welding assembly property,1,793
pareto frontier,1,667
polymetallic nodule miner,1,1073
turbulent flow,1,913
pattern search technique,1,1014
turning,1,510
tversky similarity function,1,1099
ultimate tesnile force,1,761
ultrasonic nanocrystalline surface modification,1,1020
policy,1,482
ultrasonic test,1,1176
umbrella,1,371
uncertain input distribution,1,1031
pareto optimality,1,1006
weld quality,1,1057
uniaxial forging,1,769
poe,1,600
pod,1,863
pmm,1,663
unified function of objective,1,741
ply,1,991
weighted sum method,1,748
weight reduction,1,902
vehicle mounted energy storage battery,1,1043
tensegrity,1,945
production capacity prediction,1,661
stochastic programming,1,1058
scissor lift platform,1,1147
seam tracking,1,1056
segmental structure,1,958
stir casting,1,1085
self organizing feature map,1,344
sem,1,732
steam generator,1,509
semi,1,471
separated model based optimization,1,1044
separated representation,1,586
statistical uncertainty,1,1046
static strength,1,439
state of charge,1,664
staggered structure,1,1101
series expansion,1,419
satisficing robust solution,1,527
salinity,1,695
serpentine,1,1010
safety alert,1,1030
rib feature recognition,1,871
ring tensile test,1,1175
robot crossbeam module,1,1011
structural compliance,1,894
robotic cutting,1,779
robustness metric,1,1034
roller,1,790
rotorcraft airfoil optimization,1,1182
rsw joint of multiple sheet,1,727
stress reduction,1,595
rubber aggregate concrete,1,1090
stress analysis,1,581
strengthening,1,803
strength design,1,1157
strain energy,1,653
stadium roof,1,957
serpentine channel plate,1,487
thermomechanical,1,646
silicon photonics,1,777
silicone rubber elastic button,1,696
solar array,1,731
similarity measure optimization,1,808
optimum selection,1,937
similarity prediction model,1,981
simp,1,820
snail shell,1,866
smart structure,1,508
simple linear regression,1,1120
simufact software,1,845
sma,1,927
slime mould algorithm,1,1139
slab,1,1019
simultaneous superior stiffness and toughness,1,1072
single point incremental collar forming,1,456
solid state joining,1,886
solid state transformer,1,853
sfe canister,1,709
solution space,1,350
ssa,1,489
spraying method,1,926
spoke structure,1,747
shape performance coupling,1,1063
shape sensing,1,910
special environment application,1,698
spatial structure joint,1,1082
spatial econometric model,1,1074
spatial agreement,1,394
shell with cut out,1,347
shield tunnel,1,935
ship,1,701
short channel effect,1,416
si,1,922
space mapping,1,372
rheology,1,682
reynolds number,1,1183
review and perspective,1,649
quantifying production effort,1,608
temporary support with shield,1,1067
temperature sd,1,1042
random field,1,1008
taxonomy,1,1129
random variable,1,1047
ratio data,1,1186
targeted regulation of heat transfer,1,951
tall building,1,1172
tabu search,1,966
rbf basis,1,792
rc corbel,1,304
rc folded plate deep,1,839
reactive powder concrete,1,391
reactor pressure vessel,1,629
syngas fermentation,1,752
radial arrangement,1,340
tensile property,1,1093
structural integrity,1,1135
tensor,1,578
thermoelectricity,1,833
production cost reduction,1,420
thermoelectric generator efficiency,1,712
propeller,1,330
proprioception,1,768
thermal load simulation,1,1103
propylene,1,1078
thermal distortion prediction,1,869
pruned sparse fuzzy neural network,1,523
psp linkage,1,914
thermal barrier coating,1,904
pump spindle assembly,1,908
python library,1,919
textile,1,1027
tesla valve,1,604
reasoning,1,551
recognition of solder joint,1,697
reconfigurable structure,1,809
red mud,1,455
subdividing the force diagram,1,609
stylization,1,788
reliability with confidence,1,1038
remote handling,1,812
resin transfer molding,1,895
resource supply,1,1136
structure selection,1,546
structure profile,1,994
restricted boltzmann machine,1,613
reticulated trapezoidal flow field,1,1106
reusability,1,315
reusable model,1,884
reuse,1,707
reverse engineering,1,1029
reverse thrust blade,1,1061
relaxation ratio,1,393
substrate patterning,1,786
relaxation,1,1111
surface strain,1,1108
redox flow battery,1,952
synchronous grouting material,1,746
reduction of waste,1,395
redundant,1,751
switched reluctance machine,1,880
sustainable design evaluation,1,1098
surface mount technology,1,938
subthreshold swing,1,670
supporting structure of foundation pit,1,690
supersonic condition,1,816
reinforced earth wall,1,592
reinforced lightweight soil,1,896
reinforced patch,1,633
superalloy,1,744
abductory induction mechanism,1,405
lime rotary kiln,1,325
optical monitoring,1,1018
cycling performance simulation,1,850
cross entropy,1,587
cross validation,1,1102
crushing force,1,1087
crystal plasticity,1,650
cuckoo search,1,387
curing,1,324
curvilinear stiffener,1,754
cutout,1,1079
cutting edge profile stability,1,855
cutting force,1,983
cyclic hysteresis loop,1,1052
damage mode,1,442
critical soft switching,1,851
damping,1,1100
data augmentation,1,925
data coarsening,1,959
data collection,1,1012
data fusion,1,1096
de algorithm,1,978
decision analysis,1,972
decision fusion strategy,1,780
deep clustering,1,1168
defect detection,1,988
defect predication,1,936
critical velocity,1,1028
critical plane model,1,666
demonstrate,1,576
contact force,1,1196
composite sandwich structural component,1,1125
composite shaft,1,537
compressible packing model,1,348
compression property,1,1104
computationally expensive,1,644
computer aided engineering,1,901
conjugate heat transfer,1,1152
connecting bracket,1,373
constant,1,640
constraint handling technique,1,826
contact analysis,1,757
contact pressure,1,466
crashworthy structure,1,567
contour method,1,590
cooling blade,1,1170
coordinate projection,1,781
coordination,1,579
copper strip,1,1190
coreless linear motor,1,366
corner modelling,1,1107
cost analysis,1,1178
coupling effect of temperature and strain rate,1,612
crack,1,796
crane,1,1112
delta parallel manipulator,1,1036
densification,1,571
compliant mechanism,1,715
eps geofoam,1,591
electromagnetic compatibility,1,1184
electromagnetic interference shielding,1,1035
electromagnetism,1,961
enclosure structure,1,421
encoding,1,993
energy removable,1,825
enhance dislocation density,1,942
enhanced optimal brain surgeon,1,602
enlarged pile,1,280
env modelling,1,264
environmental pollution,1,306
evolution gym,1,445
electrical contact,1,367
evolutionary learning,1,365
expanded perlite,1,1092
expected feasibility function,1,530
expected improvement function,1,829
expensive problem,1,553
expert system,1,422
explosion resistance,1,986
extended kalman filter,1,261
extended simp,1,207
eye diagram,1,1165
fabrication robustness,1,603
electrolyte,1,861
electric breakdown,1,865
deposition height,1,878
directional orientation,1,630
design history retrieval,1,620
design recommendation,1,931
design requirement,1,710
design rule,1,1128
design tactic,1,1123
design tool,1,585
desirability analysis,1,967
dexterity,1,799
diesel engine oil cooler cover,1,824
digital morphogenesis,1,718
direct joining,1,622
discharge point distribution,1,434
elbow exoskeleton,1,658
discrete design variable,1,1116
displacement learning,1,345
distributed collaborative strategy,1,562
duplex stainless steel,1,1174
durability,1,722
dynamic crushing,1,651
earthquake loading,1,724
economy,1,637
edge extraction,1,520
effective energy storage ratio,1,478
effective property,1,611
composite floor,1,573
complex chemical process,1,948
optical fiber design,1,641
axial flow fan,1,1109
artificial configuration,1,490
aspen plus,1,753
assembly sequence planning,1,675
association relationship,1,451
attention mechanism,1,625
automatic machine,1,995
automatic model modeling,1,555
automatic relevance determination,1,835
automotive crash,1,535
auxetic,1,854
auxiliary sructures,1,1121
bayesian regularisation backpropagation,1,848
architectural geometry,1,524
bearing capacity experiment,1,440
bending collapse,1,328
bimetal,1,693
binder,1,694
biocomposite,1,412
biodegradable core,1,354
bioenergy,1,485
bioethanol production,1,283
bioinspired core,1,1060
biomaterials,1,550
biometric authentication,1,1131
armature,1,501
archetype,1,1016
bioprinted construct,1,1110
alloy wheel rim,1,1013
adaboost classifier,1,883
adaptation model,1,817
adhesively bonded joint,1,923
aerial building machine,1,954
aerodynamic load,1,674
aeroelastic tailoring,1,388
age hardening,1,1001
aging,1,1075
aircraft panel,1,1054
aircraft structural part,1,970
aircraft wing,1,359
alm lagrange,1,955
arbitrary geometry,1,897
aluminum electrolysis process,1,496
aluminum fluoride addition,1,1134
ammonium perchlorate,1,462
analytical target cascading,1,810
anchor winch,1,917
and nio,1,596
angle between subspace,1,1025
anisotropic prestress,1,549
ansys acp,1,601
application discussion,1,309
approximate model,1,1124
biomimetics,1,713
bioprinting,1,616
competitive sampling,1,628
chemical composition,1,740
cellular phone folder front,1,574
cellular solid,1,235
centrifugal casting,1,568
cfetr hcsb blanket,1,739
cfetr overloaded robot,1,227
channel,1,699
chaos ant colony optimization,1,467
characteristic agent,1,771
characteristic finite strip,1,1026
characterization,1,404
charging composition,1,474
chiral auxetics,1,977
catenary system,1,472
chlorella pyrenoidosa,1,822
circularity,1,677
cladding track geometry,1,323
clustered tensegrity structure,1,522
cohesive force model,1,818
cohesive zone modeling,1,1173
cold bending centre sill,1,662
collapsible tubular mast,1,519
colony initial sparsification,1,758
combinatorial approach,1,872
common structural rule,1,353
ccd,1,819
cast component,1,832
blasting,1,671
bridge inspection,1,1069
block ramp,1,310
bmi,1,1023
bolted flange connection,1,899
bond strength,1,447
bonded composite repair,1,381
bone density prediction,1,536
boosting technique,1,260
bracing direction optimization,1,605
braiding process,1,1084
brake,1,457
breakdown strength,1,476
building,1,297
case study,1,479
building information modeling,1,515
c,1,505
cable force predictor,1,361
cad cae information technology,1,331
cae,1,762
camshaft bearing pair,1,686
cantilever assembly,1,521
cantor fractal structure,1,971
capacity fade,1,840
carbon fibre pla,1,559
carbon melt polyaryletherketone,1,593
face recognition,1,964
face sheet,1,499
failure criterion,1,1141
manufactured sand,1,721
litz pcb winding design,1,514
load path,1,363
load redistribution,1,575
local buckling mode,1,906
local reduced stiffness method,1,584
locally linear embedding,1,627
loss optimization,1,1118
low profile,1,518
low rank approximation,1,352
low velocity impact load,1,561
lower confidence bound,1,507
manufacturing defect,1,450
linear programming,1,920
manufacturing deviation,1,430
mapping relationship,1,583
mass centre,1,624
material discovery,1,860
material informatics,1,678
material selection,1,161
matlab,1,1070
matrix cracking,1,642
maximum cut,1,316
mean compliance maximization,1,396
measurement,1,403
liquid rocket engine,1,941
limit state,1,538
mem,1,415
labyrinth screw pump,1,453
investment casting,1,652
isothermal test,1,493
jacket,1,614
jenhui chang gung taiwan,1,798
joint probability distribution,1,873
kinetic,1,424
kinetics,1,626
knockdown factor,1,383
knowledge acquisition,1,376
knowledge assessment,1,893
knowledge engineering,1,1089
laminate mechanic,1,569
ablation test,1,339
laplace equation,1,728
laplace prior,1,1007
lateral impact,1,862
latin hypercube sampling,1,930
lds process,1,814
lifted system notation,1,435
light management,1,397
lightning,1,244
lightning rod structure,1,606
lightning transient immunity,1,618
lightweighting,1,320
medial mesh,1,378
membership function,1,716
failure envelope,1,888
neural style transfer,1,1005
multimedia visual analysis,1,1127
multimodal prediction method,1,1158
multiphysics,1,669
multiple load combination,1,1144
multiple performance characteristic index,1,1150
n,1,755
nacre,1,997
nanofabrication,1,834
nanoindentation,1,912
natural inspiration,1,887
negative curvature hollow core fiber,1,875
new research paradigm,1,1119
mre,1,639
nodal based shape optimisation,1,943
node design,1,907
nonlocal strain gradient theory,1,879
nonuniform rational,1,1055
normal function transformation,1,804
northeast china,1,735
novel,1,648
nuclear system design,1,773
oblique impacting,1,776
oil tanker,1,918
olefin polymerization,1,1000
multifunctional property,1,1179
mr damper,1,705
metal hybrid structure,1,800
mixed spring beam element,1,719
metallocene catalyst,1,657
micro heat pipe array,1,842
micromechanics,1,763
microplastics,1,647
microwave design,1,672
mid process,1,1149
military specification,1,1071
minimum oil film thickness,1,976
mirror,1,1169
mist cooling,1,992
mixed mode bending,1,1177
modal loss factor,1,791
moving morphable bar,1,673
mode shape expansion,1,685
modified couple stress parameter,1,723
modularisation,1,764
modularization,1,885
modularized weight matrix,1,1126
molecular weight prediction,1,720
molten pool width,1,984
mortar,1,623
most probable point,1,599
moth flame optimization algorithm,1,1160
moving least square,1,1171
inverse mc constraint boundary,1,401
inverse lattice generator,1,1114
inverse finite method,1,1142
gans,1,703
fracture prediction,1,1065
frequency analysis,1,570
frequency response,1,846
front collector,1,594
frontal impact,1,176
full penetration,1,346
function surface,1,533
furnace,1,377
fused filament fabrication,1,410
fuzzy metric optimization,1,940
félix candela,1,187
gear ring processing,1,560
forward swept wing,1,427
geometric compensation,1,259
geometric constraint,1,597
geometric deviation prediction,1,368
geometric feature recognition,1,836
geometric similarity,1,173
grain structure,1,830
graph embedding,1,274
graph theory,1,565
graphic static,1,1083
grasshopper,1,337
gravity,1,185
fractional order bat optimization algorithm,1,464
forward prediction,1,281
intersecting joint,1,759
filament winding,1,463
failure load,1,665
fatigue crack growth life,1,196
fatigue reliability,1,291
fe analysis,1,303
fea based welding simulation,1,408
feature,1,681
feed,1,898
feedback control,1,756
fem simulation,1,1068
ferrite number,1,503
fiber steering,1,517
film cooling,1,460
folding behavior,1,998
fin,1,615
fire,1,990
firefly algorithm,1,480
firmware,1,302
flexible earth radius optimizer,1,506
flexible formwork,1,742
flexible joint,1,335
flight envelope,1,1091
flip chip,1,1081
flow stress,1,539
fluid analysis,1,557
gray relational analysis,1,787
green environment,1,441
grid shell structure,1,554
injection molded direct joining,1,572
indentation,1,947
individualization,1,358
inductor design,1,547
industrial structure upgrade,1,477
industry foundation class,1,974
information integration,1,782
information theory,1,999
information update,1,956
infrared heating,1,504
inherent defect,1,552
inherent strain,1,488
inspection robot,1,529
grinding machine,1,459
intelligent analysis,1,580
intelligent modeling method,1,548
intelligent system,1,525
interaction,1,1113
interactive network dea,1,772
interconnect,1,1033
intercooler,1,725
interdependent parameter,1,852
internal force analysis,1,916
interphase,1,312
interpretative structural modeling,1,486
improved dung beetle optimizer,1,563
important region,1,475
impeller,1,770
image processing,1,498
gripping system,1,654
guided denoising diffusion,1,357
gun turret,1,1088
hardening behavior,1,300
heat spreading,1,385
herringbone grooved journal bearing,1,336
heterogeneous data,1,1050
hexagonal trigger,1,577
hibiscus,1,374
high speed train gearbox,1,370
high throughput,1,237
hog,1,760
hollow conductor,1,301
hollow inorganic microsphere,1,528
homology,1,375
horizontal continuous casting,1,449
hot flow forming,1,369
human motion recognition,1,1132
hybrid mechanic model,1,250
hyperbolic paraboloid,1,687
hyperparameter tuning,1,1064
ifc extension,1,409
ii,1,859
zirconium diboride,1,299
